video_id,title,description,category
vid001,Introduction to Machine Learning,Learn the basics of ML algorithms like linear regression and neural networks.,Tech
vid002,Easy Chocolate Cake Recipe,Step-by-step guide to bake a moist chocolate cake in 30 minutes.,Cooking
vid003,Python Tutorial for Beginners,Full Python programming course from scratch with exercises.,Tech
vid004,Morning Yoga Routine,15-minute yoga flow to start your day with energy.,Fitness
vid005,How to Invest in Stocks,Beginner's guide to stock market investing in 2023.,Finance
vid006,DIY Home Decoration Ideas,Creative and budget-friendly ways to decorate your home.,Lifestyle
vid007,Quantum Physics Explained,Simplified explanation of quantum entanglement and superposition.,Education
vid008,10-Minute Ab Workout,No-equipment ab exercises for a strong core.,Fitness
vid009,Building a REST API with Flask,Tutorial on creating APIs using Python Flask framework.,Tech
vid010,Vegan Meal Prep for the Week,Healthy plant-based recipes for meal prepping.,Cooking
